outcode,latitude,longitude
AB10,57.135161829085455,-2.120452703148426
AB11,57.13917327559056,-2.0929772
AB12,57.10189804726368,-2.113076868159204
AB13,57.10790163265306,-2.2348410204081635
AB14,57.10053237762237,-2.2716980979020978
AB15,57.13763118018018,-2.1694681459459457
AB16,57.16000253246754,-2.1567212844155845
AB21,57.20801837408313,-2.2006936466992664
AB22,57.18667975384616,-2.122867953846154
AB23,57.21244835294117,-2.088748573529412
AB24,57.16394658924206,-2.107955793398533
AB25,57.15263900621118,-2.114203896480331
AB30,56.84634498442367,-2.478205710280374
AB31,57.07303488584475,-2.5220036240487063
AB32,57.15499614130435,-2.317628508152174
AB33,57.22559768382353,-2.7407344411764707
AB34,57.09341843065693,-2.8115456642335768
AB35,57.0383133939394,-3.1507509696969698
AB36,57.19727702127659,-3.068711106382979
AB37,57.32652318181818,-3.352936409090909
AB38,57.485897730061346,-3.226613128834356
AB39,56.98162464351006,-2.215285378427788
AB41,57.37385213333334,-2.104945993939394
AB42,57.50123119009585,-1.8935901916932907
AB43,57.82234699609883,-2.0361615747724318
AB44,57.66827448979591,-2.4921490272108846
AB45,57.651779511400655,-2.5680373843648208
AB51,57.28799471416736,-2.4035600082850044
AB52,57.34405636,-2.609757176
AB53,57.52501277777778,-2.393506485380117
AB54,57.453837659574475,-2.761850867781155
AB55,57.62409221445222,-2.981209086247086
AB56,57.67438365474339,-2.9288862846034216
AB99,57.11132,-2.094001
AL1,51.74892094417077,-0.3237006789819376
AL10,51.760239057324846,-0.2325673146496815
AL2,51.71900474692203,-0.3356096265389877
AL3,51.78046529842932,-0.3777226952879581
AL4,51.773879388535036,-0.2949519184713376
AL5,51.81589787535411,-0.35237034277620394
AL6,51.83224114624506,-0.19978895059288537
AL7,51.796858792912516,-0.18710273311184938
AL8,51.80357774647888,-0.2117475469483568
AL9,51.7443455011655,-0.19743342890442891
B1,52.479875956112856,-1.9093508871473355
B10,52.46959838607595,-1.852364838607595
B11,52.45445817292006,-1.857982132137031
B12,52.46089053830228,-1.883796973084886
B13,52.43769770739065,-1.8787376636500754
B14,52.41737840879689,-1.8898480815006466
B15,52.46630928716904,-1.9233082708757638
B16,52.47727559288538,-1.9340884486166008
B17,52.4612310990991,-1.9587137945945947
B18,52.49116982608695,-1.9255235717391306
B19,52.497095233853,-1.9056786391982183
B2,52.48869081081081,-1.8968085975975975
B20,52.51555028142589,-1.91921417260788
B21,52.50690291284403,-1.941441644495413
B23,52.52851438256659,-1.8552309564164648
B24,52.519716977547496,-1.8269614766839377
B25,52.46508064748201,-1.8218657302158274
B26,52.46151824347826,-1.7887209982608696
B27,52.44452897911833,-1.822766890951276
B28,52.42758866556837,-1.8431283064250412
B29,52.437686824408466,-1.947564290161893
B3,52.484864801980194,-1.902767207920792
B30,52.42201239344262,-1.927741829508197
B31,52.40799450862069,-1.9738071137931033
B32,52.44839134564644,-1.9945269683377307
B33,52.48034968208093,-1.7884096141618497
B34,52.49642607361964,-1.7817000552147237
B35,52.51896484536083,-1.788815615120275
B36,52.50417987847222,-1.7785864010416665
B37,52.478461145975444,-1.7421964924965894
B38,52.399873877118644,-1.9347689512711865
B4,52.485636462264154,-1.89299775
B40,52.45648642857143,-1.7218704285714286
B42,52.53372647597254,-1.9119226636155608
B43,52.54850043875686,-1.9308508464351004
B44,52.545702747252754,-1.885093649921507
B45,52.38864850070722,-2.0088809773691656
B46,52.509003410041835,-1.6947155104602512
B47,52.38544066115703,-1.8799400991735538
B48,52.354728461538464,-1.9469532836538461
B49,52.21814524421593,-1.8672224190231361
B5,52.46906334916864,-1.897669002375297
B50,52.16796438679245,-1.8560780000000001
B6,52.50518604265403,-1.8861244928909953
B60,52.325263983548766,-2.051561721504113
B61,52.34662158322057,-2.068746401894452
B62,52.456619053356285,-2.0338291772805506
B63,52.451456347381864,-2.0700122362707534
B64,52.472562189473685,-2.06934504
B65,52.483655891472864,-2.043818722868217
B66,52.4926961443662,-1.9646906091549294
B67,52.48558738049713,-1.9788151300191206
B68,52.47865212585034,-2.0013782823129254
B69,52.50276952185792,-2.0301019658469945
B7,52.49400003636364,-1.872427421818182
B70,52.521000904704465,-2.0044250615199037
B71,52.53606193595343,-1.9904909679767102
B72,52.55008458333334,-1.8219179916666666
